title,description,type,relatedNpc,orderIndex,isActive
Đếm số lượng con vật,Bé quan sát hình và chọn số lượng con vật đúng,MATH,Mèo Mimi,1,true
Chọn số đúng,Bé chọn chữ số phù hợp với số lượng đồ vật,MATH,Gấu Bobo,2,true
So sánh nhiều và ít,Bé chọn nhóm có nhiều hơn hoặc ít hơn,MATH,Gấu Bobo,3,true
Nhận biết hình dạng,Bé chọn hình tròn vuông tam giác đúng,MATH,Gấu trúc Pana,4,true
Ghép số với đồ vật,Bé ghép số với nhóm đồ vật tương ứng,MATH,Cáo Kiki,5,true
Tìm hình khác biệt,Bé chọn hình khác với các hình còn lại,MATH,Cáo Kiki,6,true
Chào hỏi đơn giản,Bé học cách chào khi gặp người khác,DIALOGUE,Thỏ Nana,7,true
Gọi tên con vật,Bé luyện nhận biết và gọi tên con vật quen thuộc,DIALOGUE,Mèo Mimi,8,true
Nhận biết cảm xúc,Bé học phân biệt vui buồn tức giận sợ hãi,DIALOGUE,Thỏ Nana,9,true
Xin và cảm ơn,Bé học nói xin và cảm ơn trong tình huống đơn giản,DIALOGUE,Chó Pipi,10,true
Tạm biệt và hẹn gặp lại,Bé học cách nói tạm biệt,DIALOGUE,Koala Lala,11,true
Nghe và chọn đồ vật,Bé nghe tình huống và chọn đồ vật phù hợp,DIALOGUE,Ếch Koko,12,true
Từ vựng gia đình,Bé học các từ vựng tiếng Anh và tiếng Việt về các thành viên trong gia đình,FLASHCARD,Koala Lala,13,true
Màu sắc quanh bé,Bé làm quen với các màu sắc cơ bản qua hình ảnh sinh động,FLASHCARD,Gấu trúc Pana,14,true
Phương tiện giao thông,Bé nhận biết các loại phương tiện đi lại hằng ngày,FLASHCARD,Chó Pipi,15,true
Suy luận logic đơn giản,Bé chọn đáp án đúng dựa theo suy luận logic từ tình huống thực tế,THINKING,Cáo Kiki,16,true
Tìm bóng của vật,Bé quan sát hình dạng và suy luận tìm bóng chính xác của đồ vật,THINKING,Gấu trúc Pana,17,true
Nguyên nhân và kết quả,Bé suy luận điều gì sẽ xảy ra tiếp theo trong các tình huống,THINKING,Sư tử Lilo,18,true
Làm quen chữ cái,Bé nhận diện và chọn chữ cái bắt đầu của các từ quen thuộc,SPELLING,Mèo Mimi,19,true
Ghép âm đầu đơn giản,Bé tập ghép các âm đầu b c d với nguyên âm,SPELLING,Khỉ Momo,20,true
Tìm chữ cái còn thiếu,Bé tìm chữ cái thích hợp để hoàn thiện từ vựng dưới tranh,SPELLING,Chó Pipi,21,true
Ghép vần đơn an at,Bé làm quen với vần an at và cách ghép tiếng đơn giản,RHYME,Ếch Koko,22,true
Ghép vần ong oc,Bé ghép các chữ cái tạo thành vần ong oc chính xác,RHYME,Koala Lala,23,true
Nhận biết âm vần đồng âm,Bé chọn từ có vần giống nhau trong các từ cho trước,RHYME,Thỏ Nana,24,true
