lessonTitle,title,sceneText,audioUrl,questionText,optionA,optionB,optionC,optionD,correctOption,orderIndex
Chào hỏi đơn giản,Mimi chào bé,Mèo Mimi nói: Xin chào bé!,,"Khi gặp Mimi, bé nên nói gì?",Xin chào,Tạm biệt,Không nói gì,Đi ngủ,A,1
Chào hỏi đơn giản,Bobo gặp bé,Gấu Bobo vẫy tay và nói: Chào bạn!,,Bé nên đáp lại thế nào?,Chào Bobo,Không phải,Đi chơi,Ăn cơm,A,2
Gọi tên con vật,Nhận biết mèo,Mimi hỏi: Đây là con gì?,,Bé chọn tên con vật đúng.,Con mèo,Con chó,Con gấu,Con thỏ,A,1
Gọi tên con vật,Nhận biết chó,Pipi xuất hiện và sủa gâu gâu.,,Đây là con gì?,Con mèo,Con chó,Con cá,Con chim,B,2
Nhận biết cảm xúc,Nana vui vẻ,Nana cười và nói: Mình rất vui!,,Nana đang cảm thấy thế nào?,Vui,Buồn,Sợ,Tức giận,A,1
Nhận biết cảm xúc,Bạn nhỏ buồn,Bạn nhỏ rơi nước mắt.,,Bạn nhỏ đang cảm thấy thế nào?,Vui,Buồn,Ngạc nhiên,Bình tĩnh,B,2
Xin và cảm ơn,Pipi muốn mượn bóng,Pipi nói: Cho mình mượn quả bóng nhé.,,"Khi muốn mượn đồ, bé nên nói gì?",Cho con xin,Cảm ơn,Tạm biệt,Không cần nói,A,1
Xin và cảm ơn,Cảm ơn Mimi,Mimi đưa cho bé một quả táo.,,Bé nên nói gì?,Cảm ơn,Xin lỗi,Không thích,Tạm biệt,A,2
Tạm biệt và hẹn gặp lại,Lala ra về,Lala nói: Mình phải về rồi.,,Bé nên nói gì?,Tạm biệt,Hét lên,Im lặng,Đưa đồ chơi,A,1
Tạm biệt và hẹn gặp lại,Hẹn gặp lại,Koko nói: Mai mình lại chơi nhé!,,Bé có thể nói gì?,Hẹn gặp lại,Không bao giờ,Đi ngủ ngay,Ăn bánh,A,2
Nghe và chọn đồ vật,Koko cần sách,Koko nói: Mình muốn đọc sách.,,Bé nên chọn đồ vật nào?,Quyển sách,Quả bóng,Quả chuối,Xe hơi,A,1
Nghe và chọn đồ vật,Bobo cần xe,Bobo nói: Mình muốn đi xe.,,Bé nên chọn gì?,Xe hơi,Quả táo,Quyển sách,Mặt cười,A,2
Chào hỏi đơn giản,Buổi sáng tốt lành,Thỏ Nana nói: Chào buổi sáng!,,Bé nên trả lời gì?,Chào buổi sáng,Tạm biệt,Không biết,Đang ngủ,A,3
Gọi tên con vật,Nhận biết gấu,Bobo hỏi: Mình là con gì?,,Bé chọn đáp án đúng.,Con gấu,Con mèo,Con thỏ,Con chó,A,3
Nhận biết cảm xúc,Lilo tự tin,Lilo nói: Mình làm được rồi!,,Lilo đang cảm thấy thế nào?,Tự tin,Buồn,Sợ,Đói,A,3
Xin và cảm ơn,Xin lỗi bạn,Pipi làm rơi đồ chơi của bạn.,,Pipi nên nói gì?,Xin lỗi,Cảm ơn,Tạm biệt,Không nói gì,A,3
Tạm biệt và hẹn gặp lại,Kết thúc buổi học,Mimi nói: Hôm nay học xong rồi.,,Bé nên nói gì?,Tạm biệt Mimi,Đi chỗ khác,Không quan tâm,Khóc,A,3
Nghe và chọn đồ vật,Bé cần bóng,Nana nói: Chúng ta chơi bóng nhé!,,Bé nên chọn gì?,Quả bóng,Quyển sách,Ngôi nhà,Quả nho,A,3
Chào hỏi đơn giản,Gặp người lớn,Bé gặp cô giáo vào buổi sáng.,,Bé nên nói gì?,Con chào cô,Đưa con kẹo,Không nói gì,Con ngủ,A,4
Nhận biết cảm xúc,Bạn nhỏ sợ,Bạn nhỏ thấy tiếng động lớn và nép vào mẹ.,,Bạn nhỏ có thể đang cảm thấy gì?,Sợ,Vui,Tự tin,Bình thường,A,4
