name,description,imageUrl,animationUrl,defaultDialogue,isActive
Mèo Mimi,Một chú mèo vui vẻ giúp bé học về con vật và số đếm,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f431.svg,,Xin chào! Mình là Mimi. Hôm nay mình cùng học nhé!,true
Gấu Bobo,Một chú gấu hiền lành giúp bé học Toán cơ bản,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f43b.svg,,Chào bé! Bobo sẽ giúp bé đếm thật giỏi!,true
Thỏ Nana,Một chú thỏ năng động giúp bé học chào hỏi và cảm xúc,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f430.svg,,Nana rất vui được gặp bé!,true
Chó Pipi,Một bạn chó thân thiện giúp bé nhận biết đồ vật quen thuộc,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f436.svg,,Gâu gâu! Mình là Pipi. Cùng học nào!,true
Sư tử Lilo,Một chú sư tử tự tin giúp bé luyện trả lời câu hỏi,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f981.svg,,Lilo tin là bé sẽ làm được!,true
Cáo Kiki,Một bạn cáo thông minh giúp bé luyện tư duy đơn giản,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f98a.svg,,Kiki có một thử thách nhỏ cho bé đây!,true
Gấu trúc Pana,Một bạn gấu trúc đáng yêu giúp bé học màu sắc và hình ảnh,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f43c.svg,,Pana thích học bằng hình ảnh lắm!,true
Khỉ Momo,Một bạn khỉ vui nhộn giúp bé bắt chước âm thanh và hành động,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f435.svg,,"Momo sẽ làm mẫu, bé thử làm theo nhé!",true
Ếch Koko,Một bạn ếch nhỏ giúp bé luyện nghe và chọn đáp án,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f438.svg,,Ộp ộp! Koko có câu hỏi cho bé!,true
Koala Lala,Một bạn koala dịu dàng giúp bé ôn flashcard,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/svg/1f428.svg,,Lala sẽ cùng bé ôn lại từ mới nhé!,true
